Depth (m),Isobath Area (m2),Radius (m),Volume (m3),(1/A)dA/dz (m-1),Interpolated ()
197,224165020,8447,15424592145,0.0056,true
198,222918810,8424,15201050519,0.0056,true
199,221670000,8400,14978756406,0.0056,true
200,220417930,8376,14757712737,0.0057,true
201,219161950,8352,14537923096,0.0057,true
202,217901390,8328,14319391729,0.0058,true
203,216635600,8304,14102123541,0.0059,true
204,215363940,8280,13886124083,0.0059,true
205,214085730,8255,13671399565,0.006,true
206,212800320,8230,13457956863,0.0061,true
207,211507060,8205,13245803501,0.0061,true
208,210205290,8180,13034947661,0.0062,true
209,208894360,8154,12825398178,0.0063,true
210,207573600,8129,12617164547,0.0064,true
211,206242370,8102,12410256919,0.0065,true
212,204900000,8076,12204686099,0.0066,false
213,203545910,8049,12000463518,0.0067,true
214,202179800,8022,11797601046,0.0068,true
215,200801430,7995,11596110824,0.0069,true
216,199410580,7967,11396005222,0.007,true
217,198007010,7939,11197296840,0.0071,true
218,196590490,7911,10999998514,0.0072,true
219,195160800,7882,10804123304,0.0074,true
220,193717690,7853,10609684505,0.0075,true
221,192260930,7823,10416695653,0.0076,true
222,190790310,7793,10225170504,0.0077,true
223,189305570,7763,10035123047,0.0079,true
224,187806500,7732,9846567509,0.008,true
225,186292860,7701,9659518339,0.0082,true
226,184764420,7669,9473990224,0.0083,true
227,183220950,7637,9289998078,0.0085,true
228,181662210,7604,9107557053,0.0086,true
229,180087980,7571,8926682529,0.0088,true
230,178498020,7538,8747390116,0.009,true
231,176892110,7504,8569695656,0.0091,true
232,175270000,7469,8393615224,0.0093,false
233,173631640,7434,8219165045,0.0095,true
234,171977640,7399,8046361064,0.0097,true
235,170308780,7363,7875218533,0.0098,true
236,168625840,7326,7705751919,0.01,true
237,166929590,7289,7537974918,0.0102,true
238,165220830,7252,7371900441,0.0104,true
239,163500320,7214,7207540616,0.0106,true
240,161768850,7176,7044906800,0.0107,true
241,160027190,7137,6884009565,0.0109,true
242,158276140,7098,6724858703,0.0111,true
243,156516460,7058,6567463223,0.0113,true
244,154748940,7018,6411831359,0.0114,true
245,152974350,6978,6257970567,0.0116,true
246,151193480,6937,6105887521,0.0118,true
247,149407110,6896,5955588110,0.012,true
248,147616020,6855,5807077445,0.0121,true
249,145820980,6813,5660359860,0.0123,true
250,144022780,6771,5515438910,0.0125,true
251,142222190,6728,5372317369,0.0127,true
252,140420000,6686,5230997232,0.0128,false
253,138616990,6643,5091479707,0.013,true
254,136813930,6599,4953765231,0.0132,true
255,135011600,6556,4817853462,0.0133,true
256,133210790,6512,4683743275,0.0135,true
257,131412280,6468,4551432758,0.0137,true
258,129616830,6423,4420919232,0.0138,true
259,127825240,6379,4292199236,0.014,true
260,126038290,6334,4165268520,0.0142,true
261,124256750,6289,4040122056,0.0143,true
262,122481400,6244,3916754046,0.0145,true
263,120713020,6199,3795157907,0.0146,true
264,118952390,6153,3675326280,0.0148,true
265,117200300,6108,3557251019,0.0149,true
266,115457510,6062,3440923201,0.0151,true
